Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_GM_H,Media_GS_H,Media_GM_H_10,Media_GS_H_10,Media_Total_2HT_H,CV_Media_Total_2HT_H,PPJ_H,CV_Pontos_H,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Diferente_0x0_Home,Media_GM_A,Media_GS_A,Media_GM_A_10,Media_GS_A_10,Media_Total_2HT_A,CV_Media_Total_2HT_A,PPJ_A,CV_Pontos_A,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Diferente_0x0_Away,xg_home,xg_away,xg_jogo
v3wFMSAn,ITÁLIA - SERIE A,2023-12-17,16:45,RODADA 16,Lazio,Inter,10.0,1.0,4.75,3.8,1.73,2.06,1.84,1.95,1.8,1.2,0.8,1.17,0.67,0.67,0.39,1.83,0.72,66.67,33.33,33.33,50.0,33.33,16.67,33.33,83.33,1.8,0.4,2.0,0.33,1.33,0.23,2.67,0.31,66.67,33.33,33.33,83.33,50.0,50.0,33.33,100.0,0.69,1.2,1.89
nNFzlAcQ,ESPANHA - LALIGA,2023-12-17,17:00,RODADA 17,Real Madrid,Villarreal,2.0,14.0,1.25,6.0,9.5,1.36,3.1,1.75,2.0,2.6,0.4,2.5,0.5,2.0,0.2,2.67,0.31,83.33,16.67,16.67,83.33,50.0,66.67,50.0,83.33,0.8,1.0,0.83,1.33,1.0,0.19,1.0,1.1,50.0,50.0,50.0,16.67,0.0,33.33,66.67,83.33,1.61,0.57,2.18
bHwflQ38,ESPANHA - LALIGA2,2023-12-17,17:00,RODADA 20,Ferrol,Tenerife,6.0,7.0,2.4,3.0,3.3,2.88,1.4,2.25,1.57,1.2,1.0,1.62,1.12,2.0,0.28,2.0,0.53,62.5,12.5,37.5,50.0,25.0,25.0,62.5,100.0,1.0,1.4,1.12,1.12,1.38,0.15,1.25,1.19,62.5,25.0,37.5,37.5,25.0,37.5,37.5,100.0,1.3,1.0,2.3
IVTW7jAl,PORTUGAL - LIGA PORTUGAL,2023-12-17,17:30,RODADA 14,Braga,Benfica,4.0,3.0,3.0,3.3,2.3,1.67,2.15,1.53,2.38,2.6,1.2,2.6,1.2,2.6,0.31,2.0,0.71,100.0,20.0,0.0,60.0,20.0,80.0,100.0,100.0,2.0,1.0,1.67,0.83,1.67,0.24,2.17,0.61,50.0,33.33,50.0,66.67,50.0,50.0,50.0,83.33,1.61,1.55,3.16
rHHkLFLE,MÉXICO - LIGA MX,2023-12-17,22:30,APERTURA ,Club America,Tigres,,,1.91,3.2,4.5,2.4,1.53,2.1,1.67,2.0,1.8,2.4,1.1,1.9,0.17,2.0,0.67,70.0,50.0,30.0,60.0,60.0,70.0,50.0,100.0,2.2,1.2,1.56,1.11,1.44,0.29,1.56,0.92,77.78,44.44,22.22,44.44,33.33,44.44,44.44,100.0,1.55,1.99,3.54
hKxBl76Q,AUSTRÁLIA - A-LEAGUE,2023-12-18,05:00,RODADA 8,Macarthur FC,Wellington Phoenix,3.0,5.0,2.3,3.5,3.0,1.65,2.2,1.53,2.38,2.0,1.33,,,2.0,,2.33,0.49,33.33,33.33,66.67,66.67,0.0,33.33,66.67,100.0,1.0,0.5,,,0.5,,2.0,0.71,50.0,50.0,50.0,50.0,0.0,0.0,50.0,100.0,1.0,1.15,2.15
lGLt5t72,GRÉCIA - SUPERLIGA,2023-12-18,12:00,RODADA 14,Panetolikos,AEK,12.0,2.0,9.5,5.5,1.3,1.65,2.2,2.1,1.67,1.0,1.2,1.0,1.2,1.2,0.29,1.4,1.08,80.0,20.0,20.0,40.0,40.0,40.0,0.0,80.0,1.8,1.2,1.8,1.2,1.6,0.08,2.0,0.71,80.0,40.0,20.0,60.0,40.0,60.0,60.0,100.0,1.1,1.47,2.57
2JPp40M8,GRÉCIA - SUPERLIGA,2023-12-18,13:00,RODADA 14,Panserraikos,Olympiacos,9.0,4.0,9.0,4.75,1.36,1.75,2.05,2.05,1.7,1.67,0.67,,,1.33,,2.33,0.49,66.67,33.33,33.33,66.67,33.33,33.33,66.67,100.0,2.0,0.75,,,1.25,0.09,2.0,0.58,75.0,75.0,25.0,50.0,25.0,50.0,50.0,100.0,1.12,1.16,2.28
x8xbmpJE,ESPANHA - LALIGA2,2023-12-18,16:30,RODADA 20,Villarreal B,Valladolid,18.0,2.0,3.6,3.2,2.15,2.05,1.8,1.8,1.91,1.8,1.2,1.38,1.38,1.5,0.21,1.62,0.93,75.0,25.0,25.0,50.0,50.0,75.0,50.0,87.5,1.0,1.0,0.88,1.12,0.88,0.38,1.5,1.07,75.0,25.0,25.0,50.0,25.0,25.0,25.0,100.0,1.34,1.1,2.44
SO9d4oeI,ITÁLIA - SERIE A,2023-12-18,16:45,RODADA 16,Atalanta,Salernitana,8.0,20.0,1.3,5.5,10.0,1.57,2.35,1.95,1.8,2.2,0.8,1.83,0.67,1.5,0.34,2.17,0.61,66.67,33.33,33.33,66.67,33.33,50.0,33.33,83.33,0.8,2.2,0.67,2.17,1.0,0.1,0.33,1.55,100.0,66.67,0.0,0.0,16.67,66.67,33.33,100.0,2.2,0.8,3.0
hObJun56,ESPANHA - LALIGA,2023-12-18,17:00,RODADA 17,Girona,Alavés,1.0,13.0,1.55,4.0,6.0,1.73,2.08,1.8,1.95,3.0,1.2,2.57,1.0,2.0,0.04,2.71,0.28,42.86,28.57,57.14,85.71,42.86,57.14,57.14,100.0,0.4,1.2,0.43,1.14,1.0,0.16,0.43,1.25,57.14,0.0,42.86,0.0,14.29,14.29,42.86,85.71,1.9,0.69,2.59
ChTz7APf,PORTUGAL - LIGA PORTUGAL,2023-12-18,17:15,RODADA 14,Sporting CP,FC Porto,1.0,2.0,2.15,3.3,3.3,2.0,1.85,1.8,1.95,2.6,1.0,2.67,1.0,2.33,0.06,3.0,0.0,83.33,50.0,16.67,100.0,66.67,83.33,66.67,100.0,1.4,0.8,1.67,0.67,1.5,0.21,2.5,0.49,50.0,33.33,50.0,83.33,33.33,66.67,50.0,100.0,1.44,1.18,2.62
IJR2yC0q,ALEMANHA - 2. BUNDESLIGA,2024-01-19,14:30,RODADA 18,Karlsruher,Osnabruck,14.0,18.0,,,,,,,,2.4,0.8,2.0,1.29,1.71,0.15,1.71,0.73,100.0,42.86,0.0,42.86,57.14,71.43,57.14,100.0,1.0,2.8,0.83,3.0,2.67,0.11,0.33,1.55,66.67,50.0,33.33,0.0,0.0,66.67,66.67,100.0,2.59,0.89,3.48
WMV6zWFk,ALEMANHA - 2. BUNDESLIGA,2024-01-19,14:30,RODADA 18,Kiel,Braunschweig,2.0,17.0,,,,,,,,2.2,2.2,2.29,2.0,2.71,0.12,1.86,0.79,85.71,57.14,14.29,57.14,42.86,85.71,100.0,100.0,0.8,2.2,0.71,2.14,1.14,0.29,0.43,2.65,100.0,71.43,0.0,14.29,0.0,71.43,42.86,100.0,2.2,1.33,3.53
4WPGTGuK,TURQUIA - SUPER LIG,2023-12-19,11:00,RODADA 17,Basaksehir,Sivasspor,14.0,12.0,2.07,3.4,3.65,2.07,1.8,1.82,1.91,1.4,1.4,1.17,1.33,0.83,0.47,1.17,1.26,83.33,50.0,16.67,33.33,33.33,33.33,33.33,100.0,1.6,1.4,1.29,1.86,1.57,0.22,1.43,1.06,100.0,57.14,0.0,42.86,42.86,57.14,57.14,100.0,1.4,1.5,2.9
hdMCUdQD,TURQUIA - SUPER LIG,2023-12-19,14:00,RODADA 17,Gaziantep,Adana Demirspor,,,2.8,3.7,2.37,1.65,2.3,1.53,2.4,1.4,1.2,1.17,1.5,2.0,0.19,1.5,1.1,50.0,16.67,50.0,50.0,16.67,50.0,33.33,100.0,0.8,1.8,1.17,2.0,1.83,0.32,0.5,1.1,83.33,33.33,16.67,0.0,16.67,50.0,83.33,100.0,1.59,0.98,2.57
rRvM7ZI0,TURQUIA - SUPER LIG,2023-12-19,14:00,RODADA 17,Istanbulspor,Trabzonspor,20.0,4.0,5.0,4.15,1.65,1.72,2.2,1.72,2.05,1.0,1.2,1.0,1.57,1.57,0.06,1.0,1.41,57.14,28.57,42.86,28.57,14.29,42.86,57.14,100.0,1.6,2.0,2.29,1.86,2.57,0.18,1.43,1.06,85.71,28.57,14.29,42.86,42.86,71.43,71.43,100.0,1.41,1.39,2.8
8bex28MF,ALEMANHA - BUNDESLIGA,2023-12-19,14:30,RODADA 16,Bremen,RB Leipzig,12.0,4.0,4.33,4.5,1.6,1.4,3.0,1.5,2.5,1.2,2.0,1.71,1.86,2.0,0.1,1.43,1.06,100.0,42.86,0.0,42.86,42.86,85.71,42.86,100.0,1.8,1.6,2.0,1.33,2.0,0.1,2.0,0.77,50.0,50.0,50.0,66.67,16.67,66.67,50.0,100.0,1.39,1.9,3.29
QVVqd7km,ESPANHA - LALIGA,2023-12-19,15:00,RODADA 18,Rayo Vallecano,Valencia,10.0,11.0,2.2,3.4,3.1,2.15,1.67,1.91,1.91,1.2,2.2,1.0,1.86,1.29,0.22,1.0,1.0,85.71,57.14,14.29,14.29,28.57,42.86,57.14,85.71,1.2,2.0,0.88,2.0,2.0,0.16,0.62,1.7,62.5,25.0,37.5,12.5,12.5,62.5,62.5,100.0,1.55,1.62,3.17
AZNvRg2C,ESPANHA - LALIGA2,2023-12-19,15:00,RODADA 21,Albacete,Eldense,15.0,16.0,,,,,,,,1.4,1.4,1.33,1.11,1.56,0.06,1.67,0.79,66.67,11.11,33.33,44.44,22.22,33.33,55.56,100.0,1.2,1.8,1.22,1.44,1.33,0.21,1.33,0.99,77.78,44.44,22.22,33.33,22.22,33.33,55.56,100.0,1.59,1.3,2.89
YgpTsYut,ALEMANHA - 3. LIGA,2023-12-19,15:00,RODADA 20,Ingolstadt,Aue,7.0,8.0,1.9,3.65,3.75,1.78,2.02,1.65,2.1,2.6,0.8,2.29,1.29,2.14,0.08,2.0,0.65,85.71,42.86,14.29,57.14,28.57,85.71,71.43,100.0,1.0,1.2,1.12,1.62,1.75,0.12,1.0,0.93,50.0,37.5,50.0,12.5,12.5,62.5,75.0,87.5,1.77,0.89,2.66
K87LK1vp,ALEMANHA - 3. LIGA,2023-12-19,15:00,RODADA 20,RW Essen,Hallescher,6.0,16.0,1.91,3.65,3.7,1.72,2.07,1.62,2.15,1.2,0.4,1.33,1.22,1.44,0.28,1.89,0.72,77.78,22.22,22.22,55.56,44.44,55.56,55.56,88.89,1.6,2.6,1.57,2.57,1.71,0.31,0.86,1.71,100.0,71.43,0.0,28.57,14.29,100.0,85.71,100.0,1.77,0.8,2.57
2Zypvju5,ALEMANHA - 3. LIGA,2023-12-19,15:00,RODADA 20,Saarbrucken,Ulm,9.0,5.0,2.05,3.5,3.35,1.8,1.98,1.65,2.1,1.6,1.8,1.38,1.25,1.25,0.3,1.25,0.93,62.5,37.5,37.5,25.0,12.5,37.5,62.5,75.0,1.4,1.4,1.75,1.5,1.62,0.18,1.62,0.93,100.0,50.0,0.0,50.0,37.5,62.5,75.0,100.0,1.5,1.59,3.09
lrCPJLgj,ALEMANHA - 3. LIGA,2023-12-19,15:00,RODADA 20,Sandhausen,Lubeck,4.0,17.0,1.78,3.85,4.05,1.65,2.18,1.62,2.15,1.6,0.8,1.75,1.0,1.25,0.25,1.75,0.79,100.0,50.0,0.0,50.0,62.5,62.5,37.5,100.0,1.2,1.4,0.89,1.44,1.33,0.2,0.78,1.25,55.56,33.33,44.44,11.11,22.22,44.44,66.67,100.0,1.5,0.98,2.48
8CxtuWPb,ALEMANHA - 3. LIGA,2023-12-19,15:00,RODADA 20,Unterhaching,Regensburg,11.0,1.0,,,,,,,,1.2,1.0,1.43,0.71,1.14,0.19,1.71,0.73,57.14,28.57,42.86,42.86,28.57,57.14,42.86,57.14,1.8,0.8,1.57,0.57,1.71,0.22,2.71,0.28,28.57,14.29,71.43,85.71,14.29,42.86,42.86,85.71,0.98,1.34,2.32
QwMYsmVq,ALEMANHA - BUNDESLIGA,2023-12-19,16:30,RODADA 16,Dortmund,Mainz,5.0,17.0,1.45,4.75,5.75,1.44,2.75,1.57,2.25,1.8,1.0,1.57,1.57,1.86,0.12,1.86,0.79,57.14,57.14,42.86,57.14,14.29,57.14,42.86,100.0,0.6,1.4,0.71,1.86,1.29,0.39,0.57,0.94,71.43,42.86,28.57,0.0,14.29,57.14,57.14,71.43,1.59,0.77,2.36
EwmSwQZI,ESPANHA - LALIGA,2023-12-19,17:30,RODADA 18,Atl. Madrid,Getafe,3.0,9.0,1.33,4.75,8.0,1.91,1.99,2.25,1.57,2.4,0.8,2.43,1.0,1.71,0.09,3.0,0.0,85.71,57.14,14.29,100.0,57.14,85.71,85.71,100.0,1.6,2.4,1.29,2.29,1.71,0.2,0.43,1.25,100.0,42.86,0.0,0.0,28.57,71.43,71.43,100.0,2.4,1.13,3.53
thDccgN2,ALEMANHA - 2. BUNDESLIGA,2024-01-20,09:00,RODADA 18,Elversberg,Hannover,9.0,7.0,,,,,,,,2.0,1.0,1.57,1.14,1.43,0.35,1.43,1.06,71.43,57.14,28.57,42.86,28.57,57.14,57.14,100.0,1.2,1.4,1.29,1.29,1.43,0.1,1.29,0.97,71.43,42.86,28.57,28.57,57.14,57.14,71.43,85.71,1.67,1.1,2.77
hxKFY9p2,ALEMANHA - 2. BUNDESLIGA,2024-01-20,09:00,RODADA 18,Nurnberg,Rostock,10.0,16.0,,,,,,,,1.4,2.2,1.33,1.83,1.67,0.1,1.33,1.02,83.33,50.0,16.67,33.33,0.0,66.67,66.67,100.0,1.0,1.8,1.0,1.86,1.43,0.18,1.0,1.41,85.71,28.57,14.29,28.57,14.29,71.43,57.14,100.0,1.59,1.48,3.07
MmtXtYxM,ALEMANHA - 2. BUNDESLIGA,2024-01-20,09:00,RODADA 18,St. Pauli,Kaiserslautern,1.0,15.0,,,,,,,,2.6,0.6,2.14,0.71,1.57,0.25,1.86,0.58,57.14,57.14,42.86,42.86,28.57,57.14,57.14,57.14,1.2,2.8,1.33,2.67,1.83,0.11,0.33,1.55,100.0,66.67,0.0,0.0,33.33,83.33,83.33,100.0,2.7,0.85,3.55
2oQVrf89,ALEMANHA - 2. BUNDESLIGA,2024-01-20,16:30,RODADA 18,Schalke,Hamburger SV,13.0,4.0,,,,,,,,1.6,2.2,2.14,1.57,2.14,0.14,1.43,1.06,100.0,28.57,0.0,42.86,42.86,85.71,57.14,100.0,1.2,1.8,1.43,1.86,2.14,0.14,0.86,1.25,71.43,28.57,28.57,14.29,0.0,71.43,85.71,100.0,1.7,1.62,3.32
4ztI8F3f,TURQUIA - SUPER LIG,2023-12-20,11:00,RODADA 17,Kayserispor,Fenerbahce,3.0,1.0,6.4,4.75,1.47,1.52,2.65,1.65,2.15,1.6,0.4,1.29,0.29,1.14,0.22,2.14,0.5,42.86,0.0,57.14,57.14,28.57,14.29,28.57,71.43,1.6,0.2,1.5,0.17,0.83,0.29,2.67,0.31,50.0,33.33,50.0,83.33,33.33,16.67,16.67,83.33,0.57,0.8,1.37
zXNh2viL,GRÉCIA - SUPERLIGA,2023-12-20,12:00,RODADA 15,Aris,Lamia,5.0,7.0,1.45,4.0,7.0,1.93,1.93,2.0,1.75,2.0,1.0,1.83,1.0,1.67,0.08,2.17,0.61,83.33,33.33,16.67,66.67,50.0,50.0,50.0,100.0,0.6,2.2,0.5,2.5,2.0,0.17,0.33,1.55,50.0,50.0,50.0,0.0,0.0,66.67,33.33,100.0,2.1,0.77,2.87
neFLSzeQ,TURQUIA - SUPER LIG,2023-12-20,14:00,RODADA 17,Antalyaspor,Kasimpasa,7.0,9.0,1.72,4.05,4.45,1.7,2.22,1.65,2.15,1.0,0.8,1.29,1.0,1.14,0.26,1.71,0.73,57.14,42.86,42.86,42.86,28.57,28.57,57.14,85.71,1.4,1.8,1.67,1.83,1.83,0.24,1.33,1.02,66.67,50.0,33.33,33.33,16.67,66.67,66.67,83.33,1.34,1.06,2.4
02ZQ6gY6,TURQUIA - SUPER LIG,2023-12-20,14:00,RODADA 17,Galatasaray,Karagumruk,2.0,13.0,1.26,6.0,11.0,1.5,2.67,1.93,1.8,3.0,0.8,2.83,0.83,1.83,0.11,3.0,0.0,100.0,50.0,0.0,100.0,100.0,83.33,66.67,100.0,1.2,1.2,1.0,1.17,0.83,0.27,0.83,1.4,83.33,33.33,16.67,16.67,16.67,33.33,66.67,100.0,1.9,0.98,2.88
h8Ic1b6R,GRÉCIA - SUPERLIGA,2023-12-20,14:00,RODADA 15,Volos,Panathinaikos,11.0,1.0,9.0,5.0,1.36,1.75,2.05,2.1,1.67,1.4,1.8,1.5,2.0,2.17,0.11,0.83,1.4,66.67,50.0,33.33,16.67,16.67,83.33,83.33,100.0,2.2,0.6,2.0,0.5,1.33,0.14,2.5,0.49,66.67,33.33,33.33,83.33,50.0,50.0,16.67,100.0,0.92,1.99,2.91
823Cx9ui,BÉLGICA - LIGA JUPILER,2023-12-20,14:30,RODADA 19,Cercle Brugge,Kortrijk,7.0,16.0,,,,,,,,1.2,1.6,1.25,1.5,1.38,0.16,1.5,1.07,75.0,37.5,25.0,50.0,25.0,50.0,37.5,100.0,0.2,2.4,0.29,2.29,1.0,0.39,0.29,1.71,85.71,42.86,14.29,0.0,0.0,42.86,28.57,100.0,1.7,0.57,2.27
0KfmwAfB,ALEMANHA - 3. LIGA,2023-12-20,15:00,RODADA 20,Bielefeld,Dresden,13.0,2.0,,,,,,,,2.4,0.8,2.12,1.12,1.5,0.1,1.62,0.73,100.0,62.5,0.0,37.5,37.5,62.5,62.5,100.0,2.2,0.8,1.5,1.0,1.25,0.21,1.62,0.93,62.5,25.0,37.5,50.0,25.0,37.5,37.5,87.5,1.39,1.33,2.72
ObgyX49S,BÉLGICA - LIGA JUPILER,2023-12-20,16:45,RODADA 19,KV Mechelen,St. Liege,10.0,9.0,,,,,,,,1.2,0.8,0.88,0.88,1.12,0.21,1.25,1.19,37.5,25.0,62.5,37.5,12.5,25.0,12.5,87.5,1.2,1.4,1.0,2.12,1.38,0.06,0.75,1.38,87.5,50.0,12.5,12.5,25.0,50.0,62.5,100.0,1.3,0.98,2.28
plhGLB3a,ESCÓCIA - PREMIERSHIP,2023-12-20,16:45,RODADA 12,Aberdeen,Livingston,9.0,12.0,1.73,3.8,4.5,2.08,1.73,2.0,1.75,1.4,1.0,1.17,1.17,1.33,0.15,1.17,1.26,50.0,33.33,50.0,33.33,16.67,50.0,33.33,83.33,1.0,2.2,0.71,1.86,1.71,0.18,0.57,1.98,57.14,14.29,42.86,14.29,14.29,42.86,42.86,100.0,1.75,1.0,2.75
UyfSI9mI,ESCÓCIA - PREMIERSHIP,2023-12-20,16:45,RODADA 12,Rangers,St. Johnstone,2.0,11.0,1.13,9.0,17.0,1.53,2.4,2.75,1.4,2.8,0.4,2.29,0.43,1.14,0.32,2.57,0.44,100.0,28.57,0.0,85.71,71.43,57.14,28.57,100.0,0.2,1.2,0.17,1.0,0.83,0.0,0.5,1.1,33.33,0.0,66.67,0.0,0.0,0.0,16.67,66.67,1.83,0.28,2.11
I1WPkJN7,FRANÇA - LIGUE 1,2023-12-20,17:00,RODADA 17,Brest,Lorient,5.0,17.0,1.62,3.75,5.25,2.0,1.9,1.95,1.8,1.8,0.8,1.5,0.67,1.0,0.21,2.0,0.55,66.67,33.33,33.33,50.0,33.33,33.33,50.0,83.33,1.4,2.0,1.17,2.17,2.33,0.19,0.5,1.1,33.33,33.33,66.67,0.0,0.0,50.0,50.0,83.33,1.9,1.06,2.96
YDUDhLwk,FRANÇA - LIGUE 1,2023-12-20,17:00,RODADA 17,Clermont,Rennes,18.0,13.0,3.3,3.3,2.2,1.98,1.92,1.7,2.05,0.4,2.0,0.43,1.43,1.29,0.29,0.57,1.98,28.57,14.29,71.43,14.29,0.0,28.57,14.29,85.71,0.4,1.4,0.4,1.4,0.6,0.21,0.4,1.37,80.0,20.0,20.0,0.0,0.0,20.0,40.0,80.0,0.75,0.89,1.64
t4qORUtN,AUSTRÁLIA - A-LEAGUE,2023-12-21,05:45,RODADA 9,Brisbane Roar,Central Coast Mariners,4.0,9.0,2.0,3.75,3.2,1.6,2.3,1.57,2.25,2.0,1.5,,,2.5,,2.0,0.71,50.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,
MTetgzE7,GRÉCIA - SUPERLIGA,2023-12-21,10:00,RODADA 15,Giannina,Panetolikos,13.0,12.0,2.3,3.1,3.4,2.3,1.6,1.95,1.8,1.0,1.6,1.0,1.6,1.4,0.18,0.8,1.63,60.0,40.0,40.0,20.0,20.0,60.0,40.0,100.0,0.6,2.4,0.5,2.17,0.83,0.17,0.17,2.45,100.0,50.0,0.0,0.0,0.0,66.67,50.0,100.0,1.55,0.98,2.53
dU4eMYXg,TURQUIA - SUPER LIG,2023-12-21,11:00,RODADA 17,Rizespor,Pendikspor,8.0,19.0,1.93,3.75,3.75,1.75,2.12,1.65,2.15,1.2,0.6,1.17,0.5,0.33,0.33,2.33,0.44,66.67,33.33,33.33,66.67,33.33,16.67,33.33,83.33,1.0,2.0,1.29,2.0,2.0,0.15,1.14,1.18,71.43,42.86,28.57,28.57,28.57,57.14,71.43,100.0,1.55,0.77,2.32
vgYU5DmD,TURQUIA - SUPER LIG,2023-12-21,11:00,RODADA 17,Samsunspor,Konyaspor,17.0,16.0,2.07,3.7,3.35,1.93,1.91,1.78,1.98,1.4,1.4,1.5,1.33,1.83,0.19,1.67,0.9,66.67,33.33,33.33,50.0,16.67,66.67,66.67,83.33,1.2,1.8,1.17,1.5,1.5,0.25,1.0,1.1,50.0,50.0,50.0,16.67,0.0,50.0,83.33,100.0,1.59,1.3,2.89
2RaZBwdJ,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2023-12-21,12:00,RODADA 18,Al-Khaleej,Al-Feiha,,,,,,,,,,1.4,1.8,1.43,1.43,1.29,0.18,1.29,0.97,85.71,71.43,14.29,28.57,28.57,57.14,85.71,85.71,1.6,1.4,1.71,1.57,1.29,0.15,1.71,0.73,100.0,57.14,0.0,42.86,42.86,57.14,85.71,100.0,1.4,1.7,3.1
vBc6EWHH,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2023-12-21,12:00,RODADA 18,Damac,Al-Taee,6.0,,1.75,3.8,4.25,1.7,2.12,1.65,2.12,2.2,1.4,2.57,1.29,2.14,0.06,2.14,0.5,85.71,71.43,14.29,57.14,42.86,71.43,85.71,100.0,0.8,2.0,0.75,2.0,1.5,0.12,0.5,2.14,50.0,50.0,50.0,12.5,0.0,37.5,37.5,100.0,2.1,1.06,3.16
Iw6iNEIm,TURQUIA - SUPER LIG,2023-12-21,14:00,RODADA 17,Ankaragucu,Hatayspor,11.0,10.0,1.95,3.85,3.6,1.8,2.07,1.7,2.07,1.2,1.4,1.0,1.29,1.14,0.27,1.0,1.0,71.43,42.86,28.57,14.29,28.57,28.57,57.14,100.0,1.6,1.4,1.29,1.43,1.57,0.25,0.71,1.56,71.43,28.57,28.57,14.29,28.57,57.14,57.14,71.43,1.3,1.5,2.8
l41mOf3s,TURQUIA - SUPER LIG,2023-12-21,14:00,RODADA 17,Besiktas,Alanyaspor,5.0,18.0,1.5,4.5,6.1,1.7,2.2,1.82,1.93,1.4,1.0,1.5,0.83,1.33,0.19,2.17,0.61,66.67,33.33,33.33,66.67,50.0,33.33,50.0,100.0,0.4,0.6,0.33,1.17,1.33,0.35,0.83,1.4,16.67,0.0,83.33,16.67,0.0,16.67,16.67,83.33,0.92,0.63,1.55
AV5kIEIh,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2023-12-21,15:00,RODADA 18,Al-Hilal,Abha,1.0,16.0,1.11,7.8,25.0,1.31,3.25,2.12,1.65,1.8,0.4,2.5,0.38,1.62,0.35,2.75,0.26,75.0,50.0,25.0,87.5,62.5,37.5,37.5,100.0,0.8,3.2,0.86,2.71,2.14,0.3,0.14,2.65,71.43,57.14,28.57,0.0,0.0,71.43,57.14,100.0,2.4,0.57,2.97
Cb2nDCv0,PORTUGAL - LIGA PORTUGAL 2,2023-12-21,15:00,RODADA 15,Torreense,Vilaverdense,6.0,18.0,,,,,,,,1.6,0.6,1.6,0.6,1.2,0.53,1.8,0.61,60.0,40.0,40.0,40.0,60.0,60.0,40.0,60.0,0.2,2.0,0.5,1.67,1.5,0.16,0.67,1.82,66.67,0.0,33.33,16.67,16.67,16.67,16.67,100.0,1.79,0.35,2.14
fJ5OZ6P9,BÉLGICA - LIGA JUPILER,2023-12-21,16:45,RODADA 19,Gent,Leuven,3.0,15.0,,,,,,,,1.8,1.2,2.0,1.0,1.25,0.14,2.0,0.53,87.5,62.5,12.5,50.0,37.5,62.5,87.5,100.0,1.2,3.4,1.12,2.75,1.75,0.29,0.5,2.14,100.0,62.5,0.0,12.5,12.5,75.0,87.5,100.0,2.47,1.2,3.67
4AtrLXsT,INGLATERRA - PREMIER LEAGUE,2023-12-21,17:00,RODADA 18,Crystal Palace,Brighton,15.0,8.0,3.3,3.4,2.15,1.93,1.97,1.7,2.05,0.6,1.2,0.86,1.43,1.86,0.21,0.71,1.56,28.57,14.29,71.43,14.29,0.0,42.86,42.86,71.43,2.4,1.4,2.33,1.67,2.17,0.19,1.67,0.9,100.0,50.0,0.0,50.0,50.0,83.33,100.0,100.0,0.92,1.7,2.62
KfrSQldT,AUSTRÁLIA - A-LEAGUE,2023-12-22,05:45,RODADA 9,Adelaide United,Newcastle Jets,6.0,8.0,1.7,4.2,4.0,1.44,2.7,1.5,2.5,1.33,2.33,,,2.0,,1.0,1.73,66.67,33.33,33.33,33.33,33.33,66.67,33.33,100.0,1.75,1.25,,,1.5,0.24,1.75,0.86,100.0,50.0,0.0,50.0,50.0,75.0,50.0,100.0,1.29,2.02,3.31
lM4gHYXb,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2023-12-22,12:00,RODADA 18,Al Nassr Riyadh,Al-Ettifaq,2.0,8.0,,,,,,,,2.6,1.4,2.43,1.29,1.86,0.17,2.29,0.55,100.0,42.86,0.0,71.43,71.43,71.43,57.14,100.0,1.6,1.2,1.0,0.88,1.12,0.33,1.38,1.02,50.0,25.0,50.0,37.5,12.5,25.0,25.0,75.0,1.77,1.5,3.27
E3CtKzlt,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2023-12-22,12:00,RODADA 18,Al-Akhdoud,Al-Shabab,,11.0,,,,,,,,0.6,1.4,0.75,1.38,1.25,0.11,1.12,1.38,50.0,25.0,50.0,37.5,12.5,50.0,37.5,100.0,0.6,2.0,0.88,1.75,1.62,0.21,0.75,1.38,62.5,25.0,37.5,12.5,0.0,62.5,62.5,87.5,1.1,0.92,2.02
Ie9cGhm5,ARÁBIA SAUDITA - LIGA PROFISSIONAL SAUDITA,2023-12-22,12:00,RODADA 18,Al-Hazem,Al-Ahli,,3.0,9.0,5.1,1.31,1.47,2.55,1.78,1.93,1.4,3.0,1.29,3.14,2.14,0.31,1.0,1.41,100.0,71.43,0.0,28.57,42.86,57.14,57.14,100.0,2.6,2.0,2.14,2.14,1.86,0.12,1.43,1.06,100.0,85.71,0.0,42.86,57.14,85.71,71.43,100.0,1.67,2.79,4.46
