Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_GM_H,Media_GS_H,Media_GM_H_10,Media_GS_H_10,Media_Total_2HT_H,CV_Media_Total_2HT_H,PPJ_H,CV_Pontos_H,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Diferente_0x0_Home,Media_GM_A,Media_GS_A,Media_GM_A_10,Media_GS_A_10,Media_Total_2HT_A,CV_Media_Total_2HT_A,PPJ_A,CV_Pontos_A,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Diferente_0x0_Away,xg_home,xg_away,xg_jogo
MVhX2Nn5,ITÁLIA - SERIE B,2023-12-16,12:15,RODADA 17,Ascoli,Catanzaro,19.0,4.0,2.55,3.0,3.0,2.35,1.57,1.95,1.8,0.8,1.4,0.83,1.33,1.0,0.25,0.67,1.82,83.33,16.67,16.67,16.67,33.33,33.33,50.0,100.0,1.6,1.4,1.71,1.29,1.29,0.5,2.0,0.65,85.71,42.86,14.29,57.14,71.43,71.43,71.43,85.71,1.06,1.5,2.56
0Miy2s2B,ITÁLIA - SERIE B,2023-12-16,12:15,RODADA 17,Cosenza,Parma,12.0,1.0,3.1,3.4,2.3,2.0,1.85,1.75,2.0,2.2,0.8,1.86,1.14,2.14,0.13,1.57,0.89,71.43,14.29,28.57,42.86,71.43,71.43,57.14,100.0,2.6,1.4,2.5,1.33,2.33,0.18,2.0,0.77,50.0,50.0,50.0,66.67,33.33,83.33,66.67,100.0,1.75,1.44,3.19
xID7fafo,ITÁLIA - SERIE B,2023-12-16,12:15,RODADA 17,Palermo,Pisa,8.0,13.0,2.1,3.3,3.6,2.2,1.65,1.95,1.8,1.2,0.8,1.29,1.0,1.57,0.21,1.43,1.06,71.43,0.0,28.57,42.86,28.57,57.14,42.86,100.0,1.0,0.6,0.71,0.71,1.0,0.31,1.57,0.89,42.86,0.0,57.14,42.86,28.57,14.29,14.29,71.43,0.85,0.89,1.74
vLYqRnjD,ESPANHA - LALIGA,2023-12-16,12:15,RODADA 17,Ath. Bilbao,Atl. Madrid,5.0,3.0,2.45,3.4,2.8,1.92,1.98,1.62,2.2,2.6,1.8,2.86,1.29,2.14,0.14,2.29,0.55,85.71,42.86,14.29,71.43,57.14,85.71,42.86,100.0,2.0,0.8,1.83,1.0,1.67,0.13,1.17,1.26,66.67,33.33,33.33,33.33,33.33,66.67,16.67,83.33,1.44,1.9,3.34
h4QpSQTM,ESPANHA - LALIGA2,2023-12-16,12:15,RODADA 20,Andorra,Espanyol,17.0,4.0,2.4,3.1,3.1,2.15,1.67,1.83,1.83,1.4,1.0,1.0,0.88,1.5,0.3,1.62,0.93,25.0,12.5,75.0,50.0,0.0,25.0,25.0,87.5,0.8,1.2,1.25,1.12,1.12,0.13,1.38,1.02,75.0,25.0,25.0,37.5,37.5,25.0,50.0,100.0,1.3,0.89,2.19
QcCbQbQF,PORTUGAL - LIGA PORTUGAL,2023-12-16,12:30,RODADA 14,Rio Ave,Vizela,15.0,17.0,2.3,3.2,3.1,2.05,1.75,1.91,1.91,1.4,0.8,1.17,1.33,1.83,0.1,1.33,1.02,50.0,16.67,50.0,33.33,16.67,33.33,50.0,100.0,1.2,1.4,1.2,1.4,1.8,0.16,1.0,1.22,40.0,40.0,60.0,20.0,0.0,60.0,60.0,80.0,1.4,0.98,2.38
tKRHcXvD,PORTUGAL - LIGA PORTUGAL 2,2023-12-16,12:30,RODADA 14,Nacional,CF Os Belenenses,3.0,16.0,1.57,4.0,5.75,1.83,2.03,1.91,1.8,2.0,0.6,2.0,0.67,1.0,0.0,2.17,0.61,83.33,50.0,16.67,66.67,50.0,50.0,50.0,100.0,0.8,1.4,0.8,1.4,1.2,0.24,0.8,1.63,80.0,20.0,20.0,20.0,0.0,40.0,40.0,100.0,1.67,0.69,2.36
MFGAPjQB,ALEMANHA - 3. LIGA,2023-12-16,12:30,RODADA 19,Unterhaching,Munster,11.0,10.0,2.5,3.4,2.45,1.88,1.98,1.67,2.1,1.2,1.0,1.43,0.71,1.14,0.19,1.71,0.73,57.14,28.57,42.86,42.86,28.57,57.14,42.86,57.14,0.6,1.6,1.12,1.38,1.62,0.22,1.0,1.31,50.0,25.0,50.0,25.0,25.0,50.0,37.5,87.5,1.39,0.77,2.16
zsFC1HHB,PAÍSES BAIXOS - EREDIVISIE,2023-12-16,12:30,RODADA 16,Utrecht,Waalwijk,13.0,15.0,1.73,3.8,4.5,1.7,2.1,1.67,2.1,1.6,1.8,1.5,2.33,2.67,0.13,1.0,1.1,66.67,33.33,33.33,16.67,16.67,50.0,83.33,100.0,1.0,1.6,0.83,1.5,1.0,0.13,1.0,1.55,83.33,33.33,16.67,33.33,16.67,50.0,33.33,100.0,1.6,1.34,2.94
nBsbtcU1,GRÉCIA - SUPERLIGA,2023-12-16,12:30,RODADA 14,Kifisias,Giannina,14.0,13.0,2.4,3.2,3.1,2.25,1.62,1.95,1.8,1.2,1.8,1.33,1.67,2.0,0.17,1.0,1.1,50.0,33.33,50.0,16.67,16.67,50.0,66.67,83.33,1.2,1.6,1.17,1.5,0.83,0.47,0.67,0.77,66.67,50.0,33.33,0.0,0.0,50.0,83.33,83.33,1.39,1.47,2.86
